Model,Parameter,Value,Fixed,Variance,StdDev,RelativeStdPercent,CI95Lower,CI95Upper
Viscous,p_b2,0.0965445212173541,0,2.39906022861886e-08,0.000154888999887625,0.160432718433517,0.0962409387775743,0.0968481036571338
Viscous,p_g2,112.170820996046,0,0.00029512028811139,0.0171790654027334,0.0153150928647825,112.137150027856,112.204491964235
Coulomb-viscous,p_b2,0.0670909232612606,0,1.94871374320327e-08,0.000139596337459235,0.208070377740413,0.0668173144398405,0.0673645320826807
Coulomb-viscous,p_g2,112.024824828006,0,0.000110791730791091,0.0105257650929085,0.00939592193879248,112.004194328424,112.045455327588
Coulomb-viscous,p_c2,0.248612341004958,0,1.56746331729253e-06,0.00125198375280693,0.503588738896096,0.246158452849457,0.25106622916046
Coulomb-viscous,eps_v2,0.03,1,NaN,NaN,NaN,NaN,NaN
Best Stribeck fixed-vs grid,p_b2,0.0670909232612606,1,NaN,NaN,NaN,NaN,NaN
Best Stribeck fixed-vs grid,p_g2,112.024824828006,1,NaN,NaN,NaN,NaN,NaN
Best Stribeck fixed-vs grid,p_c2,0.248612341004958,1,NaN,NaN,NaN,NaN,NaN
Best Stribeck fixed-vs grid,p_sdelta2,0.184081449833264,0,4.47747752426692e-07,0.000669139561247646,0.363501896499477,0.182769936293218,0.185392963373309
Best Stribeck fixed-vs grid,v_s2,3.5,1,NaN,NaN,NaN,NaN,NaN
Best Stribeck fixed-vs grid,eps_v2,0.03,1,NaN,NaN,NaN,NaN,NaN
